"","H1","H2","H3","H4","H5","H6","H7","H8","graph","seed","case"
"191",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",24,"n = 100"
"192",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",24,"n = 100"
"193",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"Bonferroni",25,"n = 100"
"194",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",25,"n = 100"
"195",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"BonHolm",25,"n = 100"
"196",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Fallback",25,"n = 100"
"197",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.1",25,"n = 100"
"198",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"coPrimary.2",25,"n = 100"
"199",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.FS",25,"n = 100"
"200",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MesoPhoto.SA",25,"n = 100"
"201",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Bonferroni",26,"n = 100"
"202",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"fixedSequence",26,"n = 100"
"203",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"BonHolm",26,"n = 100"
"204",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Fallback",26,"n = 100"
"205",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.1",26,"n = 100"
"206",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"coPrimary.2",26,"n = 100"
